Time,root.group_9.1701.ZT1
1546353330172,0
1546353332160,0
1546353334160,0
1546353336153,0
1546353338161,0
1546353340159,0
1546353342153,0
1546353344160,0
1546353346153,0
1546353348155,0
1546353350162,0
1546353352157,0
1546353354172,0
1546353356160,0
1546353358152,0
1546353360158,0
1546353362160,0
1546353364153,0
1546353366156,0
1546353368160,0
1546353370159,0
1546353372155,0
1546353374165,0
1546353376156,0
1546353378170,0
1546353380153,0
1546353382161,0
1546353384153,0
1546353386160,0
1546353388155,0
1546353390156,0
1546353392162,0
1546353394155,0
1546353396153,0
1546353398161,0
1546353400152,0
1546353402165,0
1546353404160,0
1546353406161,1
1546353408157,0
1546353410160,0
1546353410667,0
1546353412158,0
1546353414153,0
1546353416163,0
1546353418154,0
1546353420153,0
1546353422163,0
1546353424157,0
1546353426171,0
1546353428155,0
1546353430154,0
1546353432153,0
1546353434162,0
1546353436155,0
1546353438164,0
1546353440160,0
1546353442154,0
1546353444155,0
1546353446160,0
1546353448157,0
1546353450175,0
1546353452160,0
1546353454160,0
1546353456159,0
1546353458161,0
1546353460163,0
1546353462155,0
1546353464162,0
1546353466164,0
1546353468156,0
1546353470154,0
1546353472153,0
1546353474170,0
1546353476162,0
1546353478154,0
1546353480153,0
1546353482162,0
1546353484157,0
1546353486156,0
1546353488160,0
1546353490154,0
1546353492162,0
1546353494160,0
1546353496154,0
1546353498188,0
1546353500160,0
1546353502156,0
1546353504158,0
1546353506153,0
1546353508162,0
1546353510156,0
1546353512161,0
1546353514158,0
1546353516157,0
1546353518162,0
1546353520162,0
1546353522170,0
1546353524161,0
1546353526152,0
1546353528153,1
1546353530153,1
1546353532160,1
1546353534154,1
1546353536160,1
1546353538152,1
1546353540157,1
1546353542160,1
1546353544156,1
1546353546175,1
1546353548160,1
1546353550154,1
1546353552155,1
1546353554160,1
1546353556154,1
1546353558158,0
1546353560161,0
1546353562157,0
1546353564155,0
1546353566161,0
1546353568162,0
1546353570165,0
1546353572161,0
1546353574161,0
1546353576155,0
1546353578164,0
1546353580161,0
1546353582152,0
1546353584162,0
1546353586155,0
1546353588152,0
1546353590160,0
1546353592156,0
1546353594167,0
1546353596160,0
1546353598154,0
1546353600156,0
1546353602160,0
1546353604161,0
1546353606155,0
1546353608164,0
1546353610159,0
1546353612156,0
1546353614160,0
1546353616156,0
1546353618171,0
1546353620174,0
1546353622160,0
1546353624155,0
1546353626160,0
1546353628154,0
1546353630157,0
1546353632152,0
1546353634154,0
1546353636160,0
1546353638152,0
1546353640155,0
1546353642175,0
1546353644160,0
1546353646156,0
1546353648160,0
1546353650162,0
1546353652153,0
1546353654156,0
1546353656162,0
1546353658159,0
1546353660159,0
1546353662162,0
1546353664157,0
